Factor,Iλ,τI
1,0.35368144265929136,0.01946870326564907
2,0.34716012124680506,0.019109731444778264
3,0.34250989945066584,0.018853755933064178
4,0.32429801189185525,0.01785126670964341
5,0.30298579560021954,0.016678117189002913
6,0.2852163127667717,0.015699980519271836
7,0.27367436966393344,0.01506464420168441
8,0.25962579108111505,0.01429132794941918
9,0.25487983178468426,0.014030082483560604
10,0.25360942433698863,0.01396015179836635
11,0.23150675375124022,0.012743491032178362
12,0.22043151646101034,0.01213384494280791
13,0.21130569326957113,0.011631506051536027
14,0.2074080918873853,0.011416959186461578
15,0.20472088653398504,0.011269039625723948
16,0.20078094126401644,0.011052161904441273
17,0.19474725858668987,0.010720032582753572
18,0.19372705634883716,0.010663874661403882
19,0.1888046872135709,0.010392918562214915
20,0.1868488252672121,0.010285256436727274
21,0.18542441199950643,0.01020684836694531
22,0.18408842796823632,0.010133307961554294
23,0.1823138464958337,0.010035624577752316
24,0.18116523893651887,0.009972398473569847
25,0.17975490328663918,0.009894765318530598
26,0.17751403914416417,0.009771414998761331
27,0.17616263086523376,0.009697025552214704
28,0.1751234758886716,0.00963982436084431
29,0.17399323402878455,0.009577609212593647
30,0.16982699479089083,0.009348274942617845
31,0.1693813922244638,0.00932374636097966
32,0.16889294564774163,0.009296859393453668
33,0.16852468680940494,0.009276588264737888
34,0.16795653857723486,0.009245314050123021
35,0.16734964215342735,0.009211906907528112
36,0.16691375084482993,0.009187912890541099
37,0.16685786343267667,0.009184836519229909
38,0.16666666666666677,0.009174311926605512
39,0.1666666666666667,0.009174311926605509
40,0.1666666666666667,0.009174311926605509
41,0.1666666666666667,0.009174311926605509
42,0.1666666666666667,0.009174311926605509
43,0.1666666666666667,0.009174311926605509
44,0.16666666666666657,0.0091743119266055
45,0.16666666666666657,0.0091743119266055
46,0.16666666666666657,0.0091743119266055
47,0.16666666666666657,0.0091743119266055
48,0.16666666666666657,0.0091743119266055
49,0.16666666666666657,0.0091743119266055
50,0.16666666666666657,0.0091743119266055
51,0.16666666666666657,0.0091743119266055
52,0.16666666666666657,0.0091743119266055
53,0.16666666666666657,0.0091743119266055
54,0.16666666666666657,0.0091743119266055
55,0.16666666666666657,0.0091743119266055
56,0.16666666666666657,0.0091743119266055
57,0.16666666666666652,0.009174311926605498
58,0.16666666666666652,0.009174311926605498
59,0.16666666666666652,0.009174311926605498
60,0.16666666666666652,0.009174311926605498
61,0.16666666666666652,0.009174311926605498
62,0.16666666666666652,0.009174311926605498
63,0.16666666666666652,0.009174311926605498
64,0.1666666666666665,0.009174311926605496
65,0.1666666666666665,0.009174311926605496
66,0.16666666666666635,0.009174311926605488
67,0.16666666666666635,0.009174311926605488
68,0.16666666666666635,0.009174311926605488
69,0.16666666666666635,0.009174311926605488
70,0.16666261230821447,0.00917408875091089
71,0.1661584520895136,0.009146336812266806
72,0.16513238888865933,0.009089856269100515
73,0.16501775278141204,0.009083546024664884
74,0.1645542316863537,0.009058031102001122
75,0.16402680013313367,0.009028998172466074
76,0.16337481908861223,0.008993109307630032
77,0.1594880496449799,0.00877915869605394
78,0.15836806078779622,0.008717507933273187
79,0.15728495264294065,0.008657887301446275
80,0.15575271001101915,0.00857354367033133
81,0.15552141536403902,0.008560811854901231
82,0.1539421158395817,0.008473877936123765
83,0.15307536337124078,0.008426166791077475
84,0.14935384026601012,0.008221312308220742
85,0.14859866103241312,0.008179742809123659
86,0.14556066019892916,0.008012513405445643
87,0.1444609109378516,0.007951976748872566
88,0.14155626139755498,0.007792087783351651
89,0.1405475850155207,0.007736564312780957
90,0.137957828256347,0.0075940088948447905
91,0.13675852722102003,0.007527992324092846
92,0.1323454786867449,0.007285072221288711
93,0.13159406230540993,0.007243709851673942
94,0.12505135419090382,0.00688356078115067
95,0.12368087193679032,0.006808121391015982
96,0.11948760383874658,0.00657729929387596
97,0.1177258414735511,0.0064803215490028135
98,0.11099608923137871,0.00610987647145204
99,0.09613588206266119,0.0052918834162932775
100,0.08866767220587356,0.0048807892957361595
101,0.08001284352787517,0.004404376707956432
102,0.07344649601042497,0.004042926385894953
103,0.06750135166229004,0.0037156707337040397
104,0.05995006523168753,0.003300003590735094
105,0.04805261214266323,0.002645097916109903
106,0.032859775042452105,0.0018087949564652536
107,0.018176621018125425,0.0010005479459518584
108,0.012962821630555349,0.0007135498145259826
109,0.0023651580119489917,0.0001301921841439812
110,1.2038817751475313e-30,6.626872156775402e-32
111,3.886834826375883e-31,2.1395421062619542e-32
112,1.2909962840600846e-31,7.106401563633494e-33
113,5.280438988764831e-32,2.9066636635402742e-33
114,2.7958778126075395e-32,1.5390153096922238e-33
115,1.0466328458712052e-32,5.761281720391956e-34
Σ,18.166666666666647,0.9999999999999987
